epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,16637,0.51298,0.45191,0.79768,0.96226,0.98231,0.9862,0.9206,0.38533,0.26564,0.77787,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,17068.9,0.50836,0.44816,0.79757,0.96126,0.98222,0.98601,0.92437,0.37236,0.26214,0.77654,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,17506.9,0.50423,0.44351,0.79624,0.96844,0.98354,0.98756,0.91536,0.40128,0.26088,0.77909,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,17936.2,0.50253,0.43868,0.7968,0.96527,0.98372,0.98668,0.91594,0.39927,0.26128,0.77874,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,18387.5,0.50051,0.4384,0.79554,0.96305,0.98523,0.98634,0.92313,0.38134,0.25573,0.77731,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,18831.2,0.49574,0.43265,0.79595,0.96459,0.98408,0.98679,0.92336,0.37978,0.25518,0.77746,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,19269.6,0.49307,0.42828,0.79581,0.96684,0.98503,0.98783,0.92207,0.3847,0.25347,0.77747,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,19697.5,0.49544,0.4294,0.79557,0.96615,0.98469,0.9873,0.92468,0.37931,0.25124,0.77696,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,20149.3,0.49101,0.42296,0.79521,0.96418,0.98549,0.98698,0.92723,0.36744,0.24641,0.77609,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,20607.1,0.48818,0.42259,0.79546,0.96746,0.98395,0.98733,0.92736,0.37155,0.24646,0.77635,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,21101.6,0.48491,0.41953,0.79466,0.96826,0.98613,0.98781,0.9302,0.36405,0.24267,0.77553,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,21564,0.48245,0.41508,0.79459,0.96877,0.98397,0.98793,0.93221,0.35979,0.23988,0.77508,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,22032.6,0.4808,0.41199,0.79387,0.9694,0.98559,0.98828,0.92899,0.37019,0.24047,0.77571,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,22496.4,0.47985,0.4121,0.79323,0.97089,0.98651,0.98872,0.9322,0.36377,0.23766,0.77508,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
